,code,term
324,I680,Cerebral amyloid angiopathy E85.-
325,I681,Cerebral arteritis in infectious and parasitic diseases classified elsewhere
326,I682,Cerebral arteritis in other diseases classified elsewhere
327,I688,Other cerebrovascular disorders in diseases classified elsewhere
328,I69X,Sequelae of cerebrovascular disease
329,I690,Sequelae of subarachnoid haemorrhage
330,I691,Sequelae of intracerebral haemorrhage
331,I692,Sequelae of other nontraumatic intracranial haemorrhage
332,I693,Sequelae of cerebral infarction
333,I694,"Sequelae of stroke, not specified as haemorrhage or infarction"
334,I698,Sequelae of other and unspecified cerebrovascular diseases
335,I70X,Atherosclerosis
336,I70-I79,"Diseases of arteries, arterioles and capillaries"
337,I700,Atherosclerosis of aorta
338,I701,Atherosclerosis of renal artery
339,I702,Atherosclerosis of arteries of extremities
340,I708,Atherosclerosis of other arteries
341,I709,Generalized and unspecified atherosclerosis
342,I71X,Aortic aneurysm and dissection
343,I710,Dissection of aorta [any part]
344,I711,"Thoracic aortic aneurysm, ruptured"
345,I712,"Thoracic aortic aneurysm, without mention of rupture"
346,I713,"Abdominal aortic aneurysm, ruptured"
347,I714,"Abdominal aortic aneurysm, without mention of rupture"
348,I715,"Thoracoabdominal aortic aneurysm, ruptured"
349,I716,"Thoracoabdominal aortic aneurysm, without mention of rupture"
350,I718,"Aortic aneurysm of unspecified site, ruptured"
351,I719,"Aortic aneurysm of unspecified site, without mention of rupture"
352,I72X,Other aneurysm and dissection
353,I720,Aneurysm and dissection of carotid artery
354,I721,Aneurysm and dissection of artery of upper extremity
355,I722,Aneurysm and dissection of renal artery
356,I723,Aneurysm and dissection of iliac artery
357,I724,Aneurysm and dissection of artery of lower extremity
358,I725,Aneurysm and dissection of other precerebral arteries
359,I726,Aneurysm and dissection of vertebral artery
360,I728,Aneurysm and dissection of other specified arteries
361,I729,Aneurysm and dissection of unspecified site
362,I73X,Other peripheral vascular diseases
363,I730,Raynaud syndrome
364,I731,Thromboangiitis obliterans [Buerger]
365,I738,Other specified peripheral vascular diseases
366,I739,"Peripheral vascular disease, unspecified"
367,I74X,Arterial embolism and thrombosis
368,I740,Embolism and thrombosis of abdominal aorta
369,I741,Embolism and thrombosis of other and unspecified parts of aorta
370,I742,Embolism and thrombosis of arteries of upper extremities
371,I743,Embolism and thrombosis of arteries of lower extremities
372,I744,"Embolism and thrombosis of arteries of extremities, unspecified"
373,I745,Embolism and thrombosis of iliac artery
374,I748,Embolism and thrombosis of other arteries
375,I749,Embolism and thrombosis of unspecified artery
376,I77X,Other disorders of arteries and arterioles
377,I770,"Arteriovenous fistula, acquired"
378,I771,Stricture of artery
379,I772,Rupture of artery
380,I773,Arterial fibromuscular dysplasia
381,I774,Coeliac artery compression syndrome
382,I775,Necrosis of artery
383,I776,"Arteritis, unspecified"
384,I778,Other specified disorders of arteries and arterioles
385,I779,"Disorder of arteries and arterioles, unspecified"
386,I78X,Diseases of capillaries
387,I780,Hereditary haemorrhagic telangiectasia
388,I781,"Naevus, non-neoplastic"
389,I788,Other diseases of capillaries
390,I789,"Disease of capillaries, unspecified"
391,I79X,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
392,I790,Aneurysm of aorta in diseases classified elsewhere
393,I791,Aortitis in diseases classified elsewhere
394,I792,Peripheral angiopathy in diseases classified elsewhere
395,I798,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
396,I80X,Phlebitis and thrombophlebitis
397,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
398,I800,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
399,I801,Phlebitis and thrombophlebitis of femoral vein
400,I802,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
401,I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
402,I808,Phlebitis and thrombophlebitis of other sites
403,I809,Phlebitis and thrombophlebitis of unspecified site
404,I81X,Portal vein thrombosis
405,I82X,Other venous embolism and thrombosis
406,I820,Budd-Chiari syndrome
407,I821,Thrombophlebitis migrans
408,I822,Embolism and thrombosis of vena cava
409,I823,Embolism and thrombosis of renal vein
410,I828,Embolism and thrombosis of other specified veins
411,I829,Embolism and thrombosis of unspecified vein
412,I83X,Varicose veins of lower extremities
413,I830,Varicose veins of lower extremities with ulcer
414,I831,Varicose veins of lower extremities with inflammation
415,I832,Varicose veins of lower extremities with both ulcer and inflammation
416,I839,Varicose veins of lower extremities without ulcer or inflammation
417,I85X,Oesophageal varices
418,I850,Oesophageal varices with bleeding
419,I859,Oesophageal varices without bleeding
420,I86X,Varicose veins of other sites
421,I860,Sublingual varices
422,I861,Scrotal varices
423,I862,Pelvic varices
424,I863,Vulval varices
425,I864,Gastric varices
426,I868,Varicose veins of other specified sites
427,I87X,Other disorders of veins
428,I870,Postthrombotic syndrome
429,I871,Compression of vein
430,I872,Venous insufficiency (chronic)(peripheral)
431,I878,Other specified disorders of veins
432,I879,"Disorder of vein, unspecified"
433,I88X,Nonspecific lymphadenitis
434,I880,Nonspecific mesenteric lymphadenitis
435,I881,"Chronic lymphadenitis, except mesenteric"
436,I888,Other nonspecific lymphadenitis
437,I889,"Nonspecific lymphadenitis, unspecified"
438,I89X,Other noninfective disorders of lymphatic vessels and lymph nodes
439,I890,"Lymphoedema, not elsewhere classified"
440,I891,Lymphangitis
441,I898,Other specified noninfective disorders of lymphatic vessels and lymph nodes
442,I899,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"
443,I95X,Hypotension
444,I95-I99,Other and unspecified disorders of the circulatory system
445,I950,Idiopathic hypotension
446,I951,Orthostatic hypotension
447,I952,Hypotension due to drugs
448,I958,Other hypotension
449,I959,"Hypotension, unspecified"
450,I97X,"Postprocedural disorders of circulatory system, not elsewhere classified"
451,I970,Postcardiotomy syndrome
452,I971,Other functional disturbances following cardiac surgery
453,I972,Postmastectomy lymphoedema syndrome
454,I978,"Other postprocedural disorders of circulatory system, not elsewhere classified"
455,I979,"Postprocedural disorder of circulatory system, unspecified"
456,I98X,Other disorders of circulatory system in diseases classified elsewhere
457,I980,Cardiovascular syphilis
458,I981,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere
459,I982,Oesophageal varices without bleeding in diseases classified elsewhere
460,I983,Oesophageal varices with bleeding in diseases classified elsewhere
461,I988,Other specified disorders of circulatory system in diseases classified elsewhere
462,I99X,Other and unspecified disorders of circulatory system
463,IX,Diseases of the circulatory system
